,ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Height,Weight,DOB,Preferred foot,Weak foot,Skill move,International reputation,Work rate,Body type,Real face,Release clause,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Traits
25,264652,65,65,65,65,64,64,64,65,65,65,65,65,58,58,58,65,50,46,46,46,50,48,42,42,42,48,15,186,70,2-Sep-02,Right,3,3,1,High/Medium,Lean (185+),No,€2.8M,59,65,56,60,57,63,62,52,48,64,74,77,77,61,62,60,47,46,49,57,51,20,65,64,58,63,23,35,28,8,8,15,6,6,None
26,252371,78,78,78,79,79,79,79,79,83,83,83,81,84,84,84,81,81,83,83,83,81,80,79,79,79,80,20,186,75,29-Jun-03,Right,4,4,2,High/High,Lean (185+),Yes,€121.6M,64,73,64,83,67,84,63,47,79,83,78,73,81,84,79,77,76,88,73,74,84,79,76,83,56,77,79,78,79,14,11,10,5,8,"Dives Into Tackles (AI), Technical Dribbler (AI)"
27,232411,84,84,84,86,85,85,85,86,88,88,88,88,85,85,85,88,80,78,78,78,80,78,72,72,72,78,20,175,73,14-Nov-97,Right,3,4,3,High/Medium,Normal (170-185),No,€165.1M,81,85,63,85,70,87,82,80,80,87,87,91,88,84,90,79,59,74,64,78,59,67,86,84,67,81,67,72,60,5,6,10,15,7,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)"
28,251530,67,67,67,69,68,68,68,69,70,70,70,72,68,68,68,72,73,69,69,69,73,73,69,69,69,73,20,183,75,26-Jan-00,Left,4,3,1,High/Medium,Normal (170-185),Yes,€12.6M,74,34,58,68,44,74,73,55,50,74,84,87,77,70,60,77,58,78,76,66,70,64,71,62,42,71,66,69,64,8,13,6,12,13,"Long Throw-in, Early Crosser, Speed Dribbler (AI)"
29,254796,74,74,74,77,76,76,76,77,78,78,78,78,70,70,70,78,62,57,57,57,62,58,50,50,50,58,20,182,70,10-Mar-02,Left,4,4,1,Medium/Medium,Lean (170-185),Yes,€36.8M,65,72,42,71,67,86,75,63,64,82,92,89,84,74,79,73,76,64,64,72,53,31,67,69,61,72,42,32,37,5,13,6,12,15,"Flair, Technical Dribbler (AI)"
30,248243,75,75,75,76,76,76,76,76,80,80,80,80,82,82,82,80,81,82,82,82,81,80,79,79,79,80,21,182,68,10-Nov-02,Left,3,4,3,High/High,Lean (170-185),Yes,€83.3M,70,62,64,82,59,80,72,59,79,82,76,76,80,79,76,72,70,81,76,64,77,77,73,77,62,81,75,80,79,12,6,8,12,12,"Flair, Technical Dribbler (AI)"
31,251517,69,69,69,68,68,68,68,68,71,71,71,73,74,74,74,73,78,79,79,79,78,79,81,81,81,79,17,185,80,23-Jan-02,Left,4,3,1,High/High,Normal (185+),No,€67.5M,61,42,76,76,54,75,59,59,74,75,80,84,67,74,60,76,83,79,84,56,85,78,58,65,61,75,74,83,80,5,8,6,9,11,Power Header
32,253163,64,64,64,60,61,61,61,60,63,63,63,64,67,67,67,64,74,77,77,77,74,77,84,84,84,77,21,192,91,7-Mar-99,Right,3,2,1,Medium/High,Normal (185+),No,€129.4M,48,53,84,72,38,48,47,45,62,66,68,84,49,81,55,41,85,65,86,35,85,82,56,59,43,76,82,83,80,11,14,9,11,8,"Injury Prone, Power Header"
33,255475,77,77,77,82,80,80,80,82,82,82,82,83,75,75,75,83,65,62,62,62,65,61,52,52,52,61,19,174,63,24-Feb-00,Left,3,5,2,High/Medium,Normal (170-185),No,€99.2M,78,76,45,74,67,87,78,74,62,86,95,91,92,75,85,73,57,79,62,76,74,39,77,79,66,80,46,37,21,9,10,14,8,13,"Early Crosser, Flair, Outside Foot Shot, Technical Dribbler (AI)"
34,20801,91,91,91,87,88,88,88,87,89,89,89,88,81,81,81,88,66,62,62,62,66,62,56,56,56,62,23,187,83,5-Feb-85,Right,4,5,5,High/Low,Unique,Yes,€83.3M,84,94,90,80,86,86,81,79,77,88,82,87,82,94,72,94,95,77,77,92,63,29,95,76,90,95,24,32,24,7,11,15,14,11,"Power Free-Kick, Leadership, Flair, Long Shot Taker (AI), Outside Foot Shot"
35,233064,81,81,81,82,82,82,82,82,86,86,86,85,84,84,84,85,74,74,74,74,74,71,64,64,64,71,22,180,74,10-Jan-99,Right,4,3,3,High/High,Lean (170-185),Yes,€119.9M,83,80,59,86,75,82,82,83,83,85,77,73,80,84,76,81,54,86,58,82,68,59,81,83,69,84,55,57,41,11,12,13,8,12,"Long Shot Taker (AI), Technical Dribbler (AI)"
36,251854,75,75,75,81,80,80,80,81,85,85,85,84,86,86,86,84,79,80,80,80,79,76,71,71,71,76,19,174,61,25-Nov-02,Right,4,4,2,High/High,Lean (170-185),No,€199.1M,68,68,50,87,56,87,79,62,85,88,81,76,88,85,89,66,65,87,60,67,62,72,77,88,53,87,68,73,63,12,7,11,8,8,"Solid Player, Flair, Technical Dribbler (AI)"
37,232756,60,60,60,61,58,58,58,61,61,61,61,65,65,65,65,65,78,78,78,78,78,80,84,84,84,80,20,185,79,19-Dec-97,Right,4,2,2,Medium/High,Normal (185+),No,€82.7M,56,33,82,72,32,61,38,40,61,65,82,90,77,82,71,42,83,74,84,45,83,83,37,42,27,81,84,87,81,10,13,10,11,7,None
38,251566,77,77,77,78,77,77,77,78,78,78,78,79,71,71,71,79,66,60,60,60,66,63,57,57,57,63,17,178,75,18-Jun-01,Right,3,4,1,High/High,Lean (170-185),Yes,€65.1M,73,76,72,71,61,82,72,49,50,79,88,86,84,77,79,70,55,82,61,65,77,37,76,74,60,75,44,40,43,10,6,7,6,6,"Finesse Shot, Flair, Outside Foot Shot, Technical Dribbler (AI)"
39,256903,76,76,76,72,73,73,73,72,73,73,73,74,69,69,69,74,59,59,59,59,59,57,55,55,55,57,20,184,79,20-Jun-01,Right,4,2,1,High/Medium,Normal (170-185),No,€26.3M,60,75,74,71,64,72,60,41,65,73,78,77,77,75,76,77,82,85,77,67,80,31,75,63,57,67,38,41,21,15,9,7,7,15,Finesse Shot
40,241096,78,78,78,77,78,78,78,77,81,81,81,79,82,82,82,79,81,83,83,83,81,81,81,81,81,81,19,181,79,8-May-00,Right,4,3,1,Medium/High,Unique,Yes,€122.6M,63,69,70,83,68,75,75,81,80,83,78,83,81,82,83,79,65,85,81,79,84,81,75,77,64,84,81,81,75,13,9,8,7,7,"Long Passer (AI), Team Player"
41,233500,77,77,77,78,77,77,77,78,80,80,80,80,75,75,75,80,69,66,66,66,69,67,61,61,61,67,21,172,60,17-Jun-99,Right,4,4,1,High/High,Normal (170-185),No,€36M,67,73,69,78,74,86,64,42,69,81,92,87,94,73,87,71,89,77,58,59,56,50,72,76,55,74,56,48,47,15,13,9,13,9,"Flair, Speed Dribbler (AI), Outside Foot Shot"
42,237692,80,80,80,84,83,83,83,84,87,87,87,86,84,84,84,86,75,74,74,74,75,72,62,62,62,72,22,171,69,28-May-00,Left,3,4,3,High/Medium,Normal (170-185),Yes,€193.7M,75,79,47,85,59,87,73,63,78,89,86,82,91,83,91,82,49,80,47,77,64,59,82,85,64,84,58,59,47,8,15,6,10,13,"Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)"
43,158023,91,91,91,91,92,92,92,91,92,92,92,92,89,89,89,92,68,67,67,67,68,63,53,53,53,63,22,169,67,24-Jun-87,Left,4,4,5,Low/Low,Unique,Yes,€128.6M,85,91,70,91,88,96,93,93,91,94,90,78,91,93,95,86,68,71,69,93,44,40,93,95,75,96,20,35,24,6,11,15,14,8,"Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)"
44,236987,66,66,66,68,67,67,67,68,72,72,72,72,76,76,76,72,79,81,81,81,79,80,81,81,81,80,18,184,68,23-Nov-99,Right,3,3,2,Medium/High,Lean (170-185),Yes,€65.1M,64,47,72,77,28,71,59,47,75,77,74,74,69,74,67,67,80,84,76,63,84,86,52,72,63,84,78,82,80,8,12,8,6,11,Leadership
45,253004,79,79,79,79,79,79,79,79,80,80,80,80,72,72,72,80,58,54,54,54,58,55,45,45,45,55,18,178,66,31-Oct-02,Right,4,4,2,High/Medium,Unique,Yes,€83.3M,69,82,66,73,69,82,75,64,69,80,90,87,89,77,82,74,75,63,48,72,48,19,80,74,74,82,23,32,28,6,9,8,10,7,"Injury Prone, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)"
46,255253,70,70,70,76,75,75,75,76,80,80,80,79,79,79,79,79,76,75,75,75,76,74,66,66,66,74,18,172,64,13-Feb-00,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,€51.7M,71,66,39,80,62,81,62,61,76,84,76,70,90,74,84,69,56,75,45,71,53,73,72,80,73,82,66,72,68,12,13,8,5,5,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)"
47,245367,67,67,67,69,69,69,69,69,72,72,72,71,71,71,71,71,66,66,66,66,66,64,61,61,61,64,18,168,58,21-Apr-03,Right,3,3,1,Medium/High,Normal (170-),Yes,€8.2M,62,62,44,71,56,72,71,65,66,73,75,68,77,69,84,66,56,66,61,62,72,61,72,68,63,70,44,64,52,9,11,5,8,10,"Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)"
48,233934,37,37,37,35,38,38,38,35,43,43,43,40,45,45,45,40,35,41,41,41,35,34,33,33,33,34,82,191,77,14-May-98,Right,3,1,1,Medium/Medium,Lean (185+),Yes,€61.2M,15,14,15,54,16,18,17,16,54,35,47,50,53,80,49,63,66,35,59,15,35,24,18,64,25,65,20,16,15,82,77,84,78,84,"Solid Player, Rushes Out Of Goal, Comes For Crosses"
49,230767,80,80,80,79,79,79,79,79,83,83,83,83,83,83,83,83,80,81,81,81,80,79,78,78,78,79,21,176,70,18-Aug-97,Right,4,4,3,High/High,Normal (170-185),Yes,€69.3M,72,67,61,81,68,84,69,68,79,83,86,83,85,80,89,89,84,87,83,78,84,75,74,79,68,83,73,74,65,5,12,6,13,14,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)"
50,257470,71,71,71,72,71,71,71,72,72,72,72,72,64,64,64,72,58,51,51,51,58,55,47,47,47,55,18,178,75,27-Apr-02,Right,3,3,1,High/High,Lean (170-185),No,€10.9M,63,69,65,67,62,74,65,61,47,72,88,84,83,69,74,64,68,68,54,61,42,29,72,63,56,68,30,35,31,13,5,13,8,10,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)"
51,256790,76,76,76,80,79,79,79,80,82,82,82,80,77,77,77,80,68,66,66,66,68,65,58,58,58,65,18,183,70,26-Feb-03,Right,4,5,1,Medium/Medium,Lean (170-185),No,€68.5M,68,76,49,78,63,88,64,38,71,86,80,73,91,81,91,71,55,69,53,73,59,47,75,77,42,81,52,49,50,6,9,8,8,11,Technical Dribbler (AI)
52,232488,64,64,64,58,58,58,58,58,61,61,61,63,64,64,64,63,75,77,77,77,75,78,85,85,85,78,20,185,79,27-Apr-98,Right,2,3,3,Medium/High,Normal (185+),No,</label>,40,48,83,69,52,54,40,38,51,68,76,73,72,80,68,51,86,79,82,36,89,80,43,41,40,79,83,84,83,5,7,11,10,14,"Dives Into Tackles (AI), Long Passer (AI)"
53,236401,77,77,77,80,78,78,78,80,81,81,81,83,81,81,81,83,83,80,80,80,83,82,77,77,77,82,20,183,62,14-Nov-97,Right,3,3,2,High/Low,Lean (170-185),Yes,€59.7M,78,69,65,82,56,82,67,42,75,84,83,84,86,77,67,68,69,88,68,61,69,80,84,76,44,79,74,77,80,12,7,13,12,12,"Injury Prone, Flair, Technical Dribbler (AI)"
54,246191,80,80,80,80,80,80,80,80,81,81,81,81,76,76,76,81,69,68,68,68,69,67,63,63,63,67,19,173,68,31-Jan-00,Right,4,4,1,High/High,Normal (170-185),No,</label>,75,80,68,72,75,80,80,74,73,81,87,80,91,77,87,84,69,79,69,80,87,46,81,79,71,82,60,48,46,6,10,8,15,6,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI)"
55,256476,72,72,72,72,71,71,71,72,72,72,72,72,62,62,62,72,53,46,46,46,53,49,41,41,41,49,15,182,73,19-Jan-04,Left,3,3,1,High/Medium,Normal (170-185),No,€9.7M,61,70,65,69,52,81,43,50,45,74,85,82,71,62,68,70,62,59,58,65,33,21,69,60,64,63,23,22,20,9,6,6,7,7,Speed Dribbler (AI)
56,256725,70,70,70,73,72,72,72,73,75,75,75,74,70,70,70,74,61,59,59,59,61,58,51,51,51,58,18,175,66,30-Aug-02,Right,4,3,1,High/Medium,Lean (170-185),No,€17.7M,60,73,43,72,56,73,65,53,64,75,80,78,81,71,86,64,59,65,48,65,42,39,75,71,49,71,49,49,32,14,5,8,10,10,Technical Dribbler (AI)
57,262118,63,63,63,68,65,65,65,68,68,68,68,71,68,68,68,71,74,71,71,71,74,74,70,70,70,74,20,181,71,12-Nov-02,Right,4,2,1,High/Medium,Normal (170-185),No,€17.9M,68,47,55,73,41,74,64,51,57,71,84,83,79,71,81,47,66,76,62,46,70,71,60,57,41,66,60,74,71,10,12,8,13,13,None
58,239085,90,90,90,80,84,84,84,80,83,83,83,81,77,77,77,81,66,67,67,67,66,64,65,65,65,64,22,194,94,21-Jul-00,Left,3,3,4,High/Medium,Unique,Yes,€272.7M,47,94,78,74,88,78,77,62,51,85,82,93,77,88,72,94,74,82,93,87,85,43,89,73,76,85,44,53,29,7,14,13,11,7,"Injury Prone, Speed Dribbler (AI), Power Header"
59,243715,62,62,62,63,62,62,62,63,66,66,66,69,71,71,71,69,77,80,80,80,77,78,81,81,81,78,18,192,85,24-Mar-01,Right,3,2,2,Medium/High,Normal (185+),No,</label>,58,37,67,77,34,69,55,35,73,74,77,79,51,77,58,60,72,73,83,23,82,82,43,61,47,72,79,83,78,7,10,6,8,11,Power Header
60,237678,59,59,59,58,58,58,58,58,62,62,62,63,67,67,67,63,73,77,77,77,73,76,82,82,82,76,19,194,95,25-May-99,Right,2,3,2,Medium/High,Stocky (185+),Yes,€91.2M,38,29,77,75,28,67,32,27,69,69,71,85,60,75,54,45,74,65,87,31,79,80,37,51,41,74,78,85,79,9,7,9,9,15,Injury Prone
61,215698,40,40,40,38,41,41,41,38,45,45,45,43,46,46,46,43,38,42,42,42,38,36,37,37,37,36,86,191,89,3-Jul-95,Right,4,1,2,Medium/Medium,Normal (185+),Yes,€111.8M,18,15,17,55,16,32,28,16,46,40,50,53,41,84,56,64,74,39,78,20,30,25,15,61,15,66,23,16,19,84,82,85,84,88,"GK Long Throw, Comes For Crosses"
62,246669,76,76,76,81,80,80,80,81,82,82,82,83,79,79,79,83,78,74,74,74,78,76,68,68,68,76,19,178,65,5-Sep-01,Left,4,3,2,High/Medium,Lean (170-185),Yes,€125M,81,75,45,80,66,86,79,69,65,82,86,82,84,79,83,72,54,80,58,67,66,68,82,81,64,78,65,69,67,7,8,13,9,13,Technical Dribbler (AI)
63,246923,72,72,72,73,73,73,73,73,76,76,76,75,76,76,76,75,69,72,72,72,69,67,65,65,65,67,19,180,72,21-May-01,Right,3,3,1,High/Medium,Lean (170-185),Yes,€21M,59,72,45,76,54,76,60,45,75,77,73,68,74,74,75,70,60,76,71,71,68,60,75,72,45,74,64,67,52,14,9,8,6,12,None
64,251470,79,79,79,77,78,78,78,77,80,80,80,80,78,78,78,80,72,70,70,70,72,70,66,66,66,70,18,192,79,10-Mar-01,Left,4,4,1,High/High,Lean (185+),No,€37.6M,74,78,75,77,76,79,73,72,77,82,74,77,78,75,60,77,69,83,75,74,57,59,77,78,67,76,45,61,57,11,8,14,8,8,"Solid Player, Flair, Playmaker (AI)"
65,240273,74,74,74,79,78,78,78,79,81,81,81,81,75,75,75,81,62,59,59,59,62,57,46,46,46,57,19,182,72,28-Jul-00,Right,4,4,1,High/High,Normal (170-185),No,€88.2M,74,73,36,81,60,84,72,58,67,81,83,79,75,77,75,70,34,75,61,67,52,28,80,80,64,78,37,30,31,11,8,14,8,10,Technical Dribbler (AI)
66,230666,84,84,84,83,83,83,83,83,84,84,84,83,76,76,76,83,65,62,62,62,65,61,56,56,56,61,20,175,73,3-Apr-97,Right,3,4,2,High/High,Unique,Yes,€95.3M,74,83,78,78,77,87,76,54,66,85,87,81,91,84,87,83,79,82,69,76,75,32,85,77,75,78,45,30,28,13,8,6,6,15,"Flair, Technical Dribbler (AI)"
67,241159,59,59,59,57,58,58,58,57,61,61,61,62,66,66,66,62,72,76,76,76,72,74,78,78,78,74,20,185,75,13-Jul-00,Right,2,2,1,Medium/Medium,Stocky (185+),No,€32.6M,35,42,74,74,32,65,29,32,70,70,65,77,67,78,65,49,73,72,78,26,67,78,33,42,38,71,79,79,77,8,9,11,12,12,None
68,235243,71,71,71,64,65,65,65,64,67,67,67,68,71,71,71,68,79,81,81,81,79,81,87,87,87,81,22,189,89,12-Aug-99,Right,3,2,3,Medium/High,Unique,Yes,€126M,52,50,85,75,45,65,48,55,67,73,71,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85,12,11,11,12,10,"Solid Player, Power Header"
